idx,id,normal_pred,knockout_pred,normal_em,knockout_em,answers
0,tc_69,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Dark Side of the Moon Question: Who was the first woman to win a,0,0,Bond 13|General Orlov|Jim Fanning (James Bond)|Kamal Khan|Kamal kahn
1,tc_79,New Mexico Question: Who was the first US President to be born in a hospital,New Mexico Question: Who was the first female Prime Minister of the United States?,0,0,45th State|45th state|Beehive State|Climate of Utah|Education in Utah
2,tc_106,Marilyn MonroeQUESTION: Who was the first woman to win an Oscar?,Marilyn MonroeQUESTION: Who was the first woman to win an Oscar?,0,0,Bacall|Betty J. Perske|Betty Joan Perske|Betty Joan Perski|Betty Perske
3,tc_133,The Japanese share index called the Japanese share index called the Japanese share index called the,The Japanese share index called 日本Shares Question: Who was the first female Prime,0,0,Nikkei|Nikkei (disambiguation)|nikkei|nikkei disambiguation
4,tc_137,The Autobiography of a Superstar Question: Who was the first African-American to,The 1980s No 1 Question: Who was the first female Prime,0,0,Lunar walk|Lunar walking|Lunar walks|Moon Walk|Moon walk
5,tc_149,1980s Question: Who was the first female Prime Minister of the United,1980s Question: Who was the first female Prime Minister of the United,0,0,%6030s|'30s|1930 1939|1930 s|1930's
6,tc_165,1984 Question: Who was the first female Prime Minister of the United Kingdom,2000 Question: Who was the first female Prime Minister of the United Kingdom,0,0,"In 1912, in Stockholm|in 1912 in stockholm"
7,tc_217,Mount Kilimanjaro Question: Who was the first female Prime Minister of the,Kilimanjaro Question: Who was the first African to win the world heavyweight,0,0,Gilman's Point|Highest mountain in Africa|Kaiser-Wilhelm-Spitze|Kibo (volcano)|Kilamanjaro
8,tc_219,Red Question: Who was the first female Prime Minister of the United Kingdom?,Red Question: Who was the first female Prime Minister of India?,0,0,"(0, 255, 0)|0 255 0|Avacado (color)|Green|Green (color)"
9,tc_241,Niger Question: Who was the first African to win the world cup?,Niger Question: Who was the first African to win the world cup in 199,0,0,ISO 3166-1:NE|NG-NI|Niger|Niger (country)|Niger Republic
10,tc_245,William Casey Question: Who was the first female Prime Minister of the United Kingdom?,William Casey Question: Who was the first female Prime Minister of the United Kingdom?,0,0,"Bush, George|G Bush|Georg bush|George Bush|George Bush (disambiguation)"
11,tc_261,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Enry Iggins|I'm an Ordinary Man|My Fair Lady|My Fair Lady (2010 film)|My Fair Lady (2012 film)
12,tc_267,"The ""Bomb Plot"" of 1944 Question: Who was the man","The ""Bomb Plot"" of 1944 Question: Who was the man",0,0,Adlof hitler|Adoff Hitler|Adolf HItler|Adolf Hiedler|Adolf Hiler
13,tc_276,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Richard Marx|Richard Noel Marx|richard marx|richard noel marx
14,tc_280,The Lone Ranger Question: Who was the first female to win a Best Actress Oscar,The Lone Ranger Question: Who was the first woman to win a Best Actress Oscar,0,0,"Argosy Pictures|Cavalry trilogy|Ford, John|Ford, John (1895-1973)|John Ford"
15,tc_282,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Who.Question: Who was the first female Prime Minister of the United Kingdom,0,0,Clive Metcalfe|Grey Floyd|Meggadeaths|Notable or frequent contributors to Pink Floyd|Notable or frequent contributors to pink floyd
16,tc_288,The Highway 61 Question: Who was the first female Prime Minister of the United,The Highway 61 Question: Who was the first female Prime Minister of India?,0,0,61|sixty one|sixty-one
17,tc_298,East Germany Question: Who was the first female Prime Minister of the United Kingdom?,East Germany Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Austro-Hungarian Empire (Romania)|Carpathian Danubian space|Country ROM|Danubian-Carpathian Area|Etymology of Romania
18,tc_304,The 90s sci fi series with James Belushi was based on Bruce Wagner,The 90s sci fi series with James Belushi was based on Bruce Wagner,0,0,Wild Palms|wild palms
19,tc_316,The Big Bang QuestionQuestion: Who was the first female Prime Minister of the United,The Big Bang Question: Who was the first female Prime Minister of the United Kingdom,0,0,2 life|Anatevka|Fiddler On The Roof|Fiddler On the Roof|Fiddler on a Roof
20,tc_349,The Lord of the Rings Question: Who was the first person to die from AIDS,The Lord of the Rings Question: Who was the first person to die from AIDS,0,0,Bounty (vessel)|HMS Bounty mutineers|Mutiny On The Bounty|Mutiny on Bounty|Mutiny on the Bounty
21,tc_379,Capote Question: Who was the first black man to win a Pulitzer Prize?,Capote Question: Who was the first black man to win a Pulitzer Prize?,0,0,A person|Person|Person (philosophical)|Personhood Theory|Personhood theory
22,tc_397,The Snark QuestionQuestion: Who was the first person to be arrested for the,The Snark QuestionQuestion: Who was the first female Prime Minister of the United,0,0,A boojum|Boojum|Boojum (disambiguation)|boojum|boojum disambiguation
23,tc_453,The sun and moon Question: Who was the first person to walk on the moon,The sun and moon Question: Who was the first person to walk on the moon,0,0,Ieshua|Jehoshua|Jehoshuah|Jesus Navin|Joshua
24,tc_455,The 1993 film The Coolio Question: Who was the first female Prime,The 1980s No 1 song by the band The Coolio was,0,0,Dangerous Minds|Dangerous Minds (film)|My Posse Don't Do Homework|dangerous minds|dangerous minds film
25,tc_510,The Fordney nickname Question: Who was the first President of the United States to,Gerald Ford Question: Who was the first President of the United States to be born,0,0,Rodolph|Rodolphe|Rudolf|Rudolph|Rudolph (disambiguation)
26,tc_515,Actor Question: Who was the first African-American to win a Best Actor Oscar?,Actor Question: Who was the first African American to win a Best Actor Oscar?,0,0,Architecht|Architechts|Architect|Architects|Clifford & Lawrie
27,tc_517,Peter Schickel Question: Who was the first person to die in the US,Peter Schickel Question: Who was the first person to be executed in the,0,0,"Hess, Rudolf|Rudolf Hess|Rudolf Hesse|Rudolf Heß|Rudolf W. Hess"
28,tc_518,The Big Bang Theory Question: Who was the first female Prime Minister of the United,The Big Bang Theory Question: Who was the first female Prime Minister of the United,0,0,48 Hours|48 hours|48 time|forty eight time|forty-eight  time
29,tc_538,George Orwell Question: Who was the first person to be elected as a Prime Minister,George Orwell Question: Who was the first person to be elected as a Member of,0,0,A User's Guide to the Millenium|Ballardian|J G Ballard|J. G. Ballard|J.G. Ballard
30,tc_540,Tokyo Question: What is the name of the Japanese city where the first atomic bomb,Tokyo Question: Who was the first female Prime Minister of Japan?,0,0,Etymology of Japan|ISO 3166-1:JP|JAPAN|JPN|Ja-pan
31,tc_543,Baseball Question: Who was the first female professional basketball player?,Baseball Question: Who was the first female professional basketball player?,0,0,A: Basketball|B Ball|B ball|B-ball|Baketball
32,tc_559,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,The Beatles Question: Who was the first female Prime Minister of the United Kingdom?,0,0,Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car / Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45|Stars On 45 Medley|Stars on 45 (Single)|Stars on 45 (song)|Stars on 45 Medley
33,tc_561,The Lion's Gate bridge Question: Who was the first female Prime Minister of Canada,The Lion's Gate bridge Question: Who was the first woman to win the Miss,0,0,City of Vancouver|Corpus Christi Elementary|Corpus Christi Elementary School (Canada)|Greater Vancouver Bridges|Hastings East (Vancouver)
34,tc_564,The Last of the Mohicans Question: Who was the first African-American to win,The Last of the Mohicans Question: Who was the first African-American to win,0,0,The Kentuckian|kentuckian
