idx,id,normal_nll,knockout_nll,delta_knockout_minus_normal,normal_tokens,knockout_tokens,normal_answer,knockout_answer
0,tc_2,6.574826240539551,6.500750541687012,-0.07407569885253906,4,4,david seville,david seville
1,tc_33,6.224954128265381,6.25526762008667,0.030313491821289062,3,3,Sunset Blvd.,Sunset Blvd.
2,tc_40,1.3904579877853394,1.322418451309204,-0.06803953647613525,5,5,Henry Campbell-Bannerman,Henry Campbell-Bannerman
3,tc_49,4.855970859527588,4.893042087554932,0.03707122802734375,6,6,Exile and Banishment,Exile and Banishment
4,tc_56,4.212673187255859,4.199763298034668,-0.012909889221191406,5,5,Cancer (disease),Cancer (disease)
5,tc_69,4.187984943389893,4.054007530212402,-0.13397741317749023,6,6,Magda (James Bond),Magda (James Bond)
6,tc_79,2.7604598999023438,2.724586009979248,-0.0358738899230957,5,5,The Beehive State,The Beehive State
7,tc_106,2.521141290664673,2.511148691177368,-0.009992599487304688,3,3,Lauren Bacall,Lauren Bacall
8,tc_133,3.6543776988983154,3.716946840286255,0.06256914138793945,6,6,Nikkei (disambiguation),Nikkei (disambiguation)
9,tc_137,4.744616508483887,4.808203220367432,0.06358671188354492,4,4,Walk on the moon,Walk on the moon
10,tc_149,1.563994288444519,1.6423875093460083,0.07839322090148926,6,6,1930-1939,1930-1939
11,tc_165,1.8681360483169556,1.9055759906768799,0.037439942359924316,7,7,"In 1912, in Stockholm","In 1912, in Stockholm"
12,tc_217,0.24038347601890564,0.22649212181568146,-0.013891354203224182,5,5,Mount Kilimanjaro,Mount Kilimanjaro
13,tc_219,3.036349296569824,2.9814798831939697,-0.05486941337585449,3,3,The color green,The color green
14,tc_241,1.6030921936035156,1.653210163116455,0.05011796951293945,4,4,The Republic of Niger,The Republic of Niger
15,tc_245,2.997138500213623,2.9874768257141113,-0.009661674499511719,8,8,George W. Bush (disambiguation),George W. Bush (disambiguation)
16,tc_261,3.964169502258301,3.928863048553467,-0.035306453704833984,8,8,My Fair Lady (2014 film),My Fair Lady (2014 film)
17,tc_267,2.733231544494629,2.674173593521118,-0.05905795097351074,3,3,Adolph Hitler,Adolph Hitler
18,tc_276,7.392381191253662,7.349842548370361,-0.04253864288330078,2,2,Richard Marx,Richard Marx
19,tc_280,2.655028820037842,2.6883609294891357,0.033332109451293945,9,9,John Ford (1895-1973),John Ford (1895-1973)
20,tc_282,3.63826060295105,3.7004234790802,0.06216287612915039,3,3,The Pink Floyd,The Pink Floyd
21,tc_288,5.291924476623535,5.276865005493164,-0.015059471130371094,2,2,61,61
22,tc_298,2.6987552642822266,2.6964244842529297,-0.002330780029296875,10,10,Austro-Hungarian Empire (Romania),Austro-Hungarian Empire (Romania)
23,tc_304,7.962996006011963,7.828037261962891,-0.13495874404907227,3,3,Wild Palms,Wild Palms
24,tc_316,3.152252197265625,3.2109744548797607,0.05872225761413574,7,7,The Fiddler on the Roof,The Fiddler on the Roof
25,tc_349,1.3804060220718384,1.3750762939453125,-0.005329728126525879,6,6,Mutiny on the Bounty,Mutiny on the Bounty
26,tc_379,3.758204698562622,3.736433982849121,-0.021770715713500977,2,2,A person,A person
27,tc_397,4.224947929382324,4.132148265838623,-0.09279966354370117,7,7,Boojum (disambiguation),Boojum (disambiguation)
28,tc_453,1.938788652420044,1.9781925678253174,0.03940391540527344,10,10,יְהוֹשֻׁעַ,יְהוֹשֻׁעַ
29,tc_455,5.284022331237793,5.226524829864502,-0.057497501373291016,5,5,Dangerous Minds (film),Dangerous Minds (film)
30,tc_510,5.234185218811035,5.2305498123168945,-0.003635406494140625,5,5,Rudolph (disambiguation),Rudolph (disambiguation)
31,tc_515,5.703117847442627,5.676888942718506,-0.026228904724121094,6,6,Master builder (occupation),Master builder (occupation)
32,tc_517,2.5912888050079346,2.613356113433838,0.02206730842590332,2,2,Rudolf Hess,Rudolf Hess
33,tc_518,5.507720947265625,5.55832052230835,0.05059957504272461,3,3,48 hours,48 hours
34,tc_538,1.9854134321212769,1.968410611152649,-0.01700282096862793,6,6,J. G. Ballard,J. G. Ballard
35,tc_540,1.9303826093673706,1.9807993173599243,0.05041670799255371,3,3,JAPAN,JAPAN
36,tc_543,3.479039192199707,3.429598569869995,-0.049440622329711914,6,6,Rim (basketball),Rim (basketball)
37,tc_559,4.194100856781006,4.190751552581787,-0.00334930419921875,57,57,Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car / Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45,Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car / Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45
38,tc_561,1.6813573837280273,1.6894246339797974,0.00806725025177002,6,6,"Vancouver, British Columbia, Canada","Vancouver, British Columbia, Canada"
39,tc_564,4.009710788726807,4.014166355133057,0.00445556640625,4,4,The Kentuckian,The Kentuckian
40,tc_585,4.525358200073242,4.499614715576172,-0.025743484497070312,3,3,Undersea,Undersea
41,tc_586,1.6731549501419067,1.6734696626663208,0.0003147125244140625,6,6,"Coventry, Warwickshire","Coventry, Warwickshire"
42,tc_596,2.1120569705963135,1.9626729488372803,-0.1493840217590332,4,4,The Manticore,The Manticore
43,tc_604,4.423573970794678,4.509799480438232,0.08622550964355469,6,6,Cyclopes (disambiguation),Cyclopes (disambiguation)
44,tc_626,1.963770866394043,2.0163803100585938,0.05260944366455078,4,4,Jelly Roll Morton,Jelly Roll Morton
45,tc_635,4.0102667808532715,4.083152770996094,0.07288599014282227,8,8,ISO 3166-1:PE,ISO 3166-1:PE
46,tc_653,3.9258999824523926,3.992952823638916,0.06705284118652344,2,2,27,27
47,tc_657,7.775290489196777,7.93034553527832,0.15505504608154297,2,2,Richard Noble,Richard Noble
48,tc_664,2.4900455474853516,2.5497384071350098,0.0596928596496582,4,4,"Virginia, United States","Virginia, United States"
49,tc_665,2.0396652221679688,2.0747053623199463,0.03504014015197754,3,3,European Recovery Program,European Recovery Program
50,tc_672,3.924071788787842,3.786947727203369,-0.13712406158447266,7,7,The Crow (2016 film),The Crow (2016 film)
51,tc_678,2.8777942657470703,2.798051595687866,-0.0797426700592041,6,6,The Staple Singers,The Staple Singers
52,tc_687,4.69433069229126,4.716528415679932,0.022197723388671875,6,6,You Shouldn't Touch This,You Shouldn't Touch This
53,tc_690,6.139772891998291,6.155552864074707,0.015779972076416016,4,4,Triumph and Disaster,Triumph and Disaster
54,tc_691,2.3300936222076416,2.276167631149292,-0.05392599105834961,3,3,Elton John,Elton John
55,tc_704,3.427744150161743,3.402839183807373,-0.024904966354370117,4,4,The Republic of Angola,The Republic of Angola
56,tc_715,3.314703941345215,3.339675188064575,0.02497124671936035,9,9,Upside Down (Diana Ross song),Upside Down (Diana Ross song)
57,tc_719,5.662766933441162,5.589758396148682,-0.07300853729248047,5,5,Dark Blood (film),Dark Blood (film)
58,tc_723,1.2087862491607666,1.1406028270721436,-0.06818342208862305,4,4,David Hockney,David Hockney
59,tc_725,3.3417208194732666,3.519955635070801,0.17823481559753418,6,6,St. Columcille,St. Columcille
60,tc_731,2.045661687850952,2.044605255126953,-0.0010564327239990234,8,8,"Chicago, Illinois, U.S.A.","Chicago, Illinois, U.S.A."
61,tc_759,5.994027614593506,6.007999420166016,0.013971805572509766,6,6,Grand Hotel (disambiguation),Grand Hotel (disambiguation)
62,tc_783,5.051389217376709,4.87446403503418,-0.1769251823425293,2,2,Cartoon,Cartoon
63,tc_812,6.0614399909973145,6.1119818687438965,0.05054187774658203,6,6,sarah virginia wade,sarah virginia wade
64,tc_827,6.578569412231445,6.550014495849609,-0.028554916381835938,6,6,walter charles hagen,walter charles hagen
65,tc_841,3.821967363357544,3.833217144012451,0.011249780654907227,8,8,ISO 3166-1:CA,ISO 3166-1:CA
66,tc_847,3.0668251514434814,3.091141939163208,0.024316787719726562,3,3,The Famous Players,The Famous Players
67,tc_866,2.739384889602661,2.784564256668091,0.04517936706542969,3,3,Sir Edmund Hillary,Sir Edmund Hillary
68,tc_875,2.6007683277130127,2.5983715057373047,-0.002396821975708008,5,5,Seymour M. Hersh,Seymour M. Hersh
69,tc_881,5.235067367553711,5.254662036895752,0.019594669342041016,3,3,Jaspis,Jaspis
70,tc_886,2.106531858444214,2.1371865272521973,0.0306546688079834,4,4,Pepsi Cola,Pepsi Cola
71,tc_888,6.504811763763428,6.508433818817139,0.0036220550537109375,4,4,carl wilson,carl wilson
72,tc_905,5.9543657302856445,6.016478538513184,0.06211280822753906,4,4,richard dawson,richard dawson
73,tc_935,5.848363399505615,5.8406853675842285,-0.007678031921386719,3,3,White Shirt,White Shirt
74,tc_938,6.072846412658691,6.0765485763549805,0.0037021636962890625,5,5,Bear (zoology),Bear (zoology)
75,tc_945,4.286064147949219,4.256525993347168,-0.02953815460205078,8,8,All in the Family (US series),All in the Family (US series)
76,tc_954,1.190891146659851,1.246052861213684,0.05516171455383301,3,3,July 20,July 20
77,tc_955,1.5119214057922363,1.5060704946517944,-0.0058509111404418945,4,4,Brunei Darussalam,Brunei Darussalam
78,tc_962,3.933408498764038,3.9064767360687256,-0.0269317626953125,4,4,Freelance photographer,Freelance photographer
79,tc_1004,8.047852516174316,8.083601951599121,0.03574943542480469,3,3,Petula Clark,Petula Clark
80,tc_1007,1.630526065826416,1.5337072610855103,-0.09681880474090576,3,3,Kiefer Sutherland,Kiefer Sutherland
81,tc_1008,2.831826686859131,2.8736977577209473,0.041871070861816406,2,2,10,10
82,tc_1009,1.4555526971817017,1.4088999032974243,-0.046652793884277344,3,3,The Georgia Peach,The Georgia Peach
83,tc_1020,1.942285418510437,1.850799798965454,-0.09148561954498291,4,4,Jimi Hendrix,Jimi Hendrix
84,tc_1023,5.765124320983887,5.749177932739258,-0.015946388244628906,10,10,Perry Mason: The Case of the Defiant Daughter,Perry Mason: The Case of the Defiant Daughter
85,tc_1028,3.795034170150757,3.7740225791931152,-0.0210115909576416,4,4,Donny Osmond,Donny Osmond
86,tc_1029,6.569528579711914,6.643412113189697,0.0738835334777832,3,3,Officially Back,Officially Back
87,tc_1068,5.007174015045166,4.90502405166626,-0.10214996337890625,5,5,History of beekeeping,History of beekeeping
88,tc_1069,2.8717737197875977,2.9049439430236816,0.033170223236083984,4,4,The Commonwealth of Massachusetts,The Commonwealth of Massachusetts
89,tc_1070,3.102160930633545,3.086583375930786,-0.015577554702758789,15,15,ⵍⵉⴱⵢⴰ,ⵍⵉⴱⵢⴰ
90,tc_1098,1.306567907333374,1.3083683252334595,0.0018004179000854492,5,5,Oprah Winfrey,Oprah Winfrey
91,tc_1114,2.747403383255005,2.72395396232605,-0.023449420928955078,3,3,Leonard Nimoy,Leonard Nimoy
92,tc_1115,4.043606281280518,3.972076416015625,-0.07152986526489258,3,3,Jennifer Aniston,Jennifer Aniston
93,tc_1120,3.623321771621704,3.6609420776367188,0.03762030601501465,3,3,Tinkerbell,Tinkerbell
94,tc_1123,1.6816356182098389,1.7063043117523193,0.02466869354248047,8,8,37th President of the United States,37th President of the United States
95,tc_1124,5.024106502532959,4.971551418304443,-0.052555084228515625,6,6,Shine (disambiguation),Shine (disambiguation)
96,tc_1128,2.1704885959625244,2.1263620853424072,-0.04412651062011719,3,3,Roger Corman,Roger Corman
97,tc_1131,4.2736592292785645,4.218475818634033,-0.05518341064453125,6,6,Aliens (novel),Aliens (novel)
98,tc_1152,4.5452141761779785,4.444530963897705,-0.10068321228027344,3,3,GEORGE,GEORGE
99,tc_1156,1.8818916082382202,1.866589069366455,-0.015302538871765137,4,4,Ingrid Bergman,Ingrid Bergman
100,tc_1176,4.323787212371826,4.304123401641846,-0.01966381072998047,4,4,The Full Monty,The Full Monty
101,tc_1179,6.849557399749756,6.86614465713501,0.016587257385253906,5,5,Crawford (village),Crawford (village)
102,tc_1181,3.4523062705993652,3.474268674850464,0.021962404251098633,5,5,James Stewart (actor),James Stewart (actor)
103,tc_1183,1.9722566604614258,1.999701976776123,0.027445316314697266,3,3,Fred Astaire,Fred Astaire
104,tc_1189,5.801460266113281,5.74969482421875,-0.05176544189453125,6,6,Chicken Ranch (disambiguation),Chicken Ranch (disambiguation)
