idx,id,normal_nll,knockout_nll,delta_knockout_minus_normal,normal_tokens,knockout_tokens,normal_answer,knockout_answer
0,tc_2,5.399057388305664,5.49118185043335,0.09212446212768555,3,3,David Seville,David Seville
1,tc_33,4.462032794952393,4.453057765960693,-0.008975028991699219,3,3,Sunset Blvd.,Sunset Blvd.
2,tc_40,1.2165635824203491,1.211889624595642,-0.004673957824707031,6,6,Sir Henry Campbell-Bannerman,Sir Henry Campbell-Bannerman
3,tc_49,5.11177921295166,5.0691375732421875,-0.042641639709472656,6,6,Exile and Banishment,Exile and Banishment
4,tc_56,3.923077344894409,3.940084934234619,0.01700758934020996,5,5,Malignant neoplastic disease,Malignant neoplastic disease
5,tc_69,3.8986732959747314,3.8779163360595703,-0.020756959915161133,3,3,Bond 13,Bond 13
6,tc_79,2.4605228900909424,2.710712432861328,0.25018954277038574,7,7,Utah (U.S. state),Utah (U.S. state)
7,tc_106,2.398576498031616,2.3962180614471436,-0.0023584365844726562,3,3,Lauren Bacall,Lauren Bacall
8,tc_133,3.3812010288238525,3.4491448402404785,0.06794381141662598,2,2,Nikkei,Nikkei
9,tc_137,4.41471004486084,4.396899223327637,-0.017810821533203125,3,4,Moonwalking,Walk on the moon
10,tc_149,1.5050581693649292,1.5500705242156982,0.04501235485076904,4,5,1930s,1930’s
11,tc_165,1.8860175609588623,1.896148443222046,0.010130882263183594,7,7,"In 1912, in Stockholm","In 1912, in Stockholm"
12,tc_217,0.29900771379470825,0.29493823647499084,-0.004069477319717407,5,5,Mount Kilimanjaro,Mount Kilimanjaro
13,tc_219,2.937154531478882,2.987758159637451,0.050603628158569336,9,9,"(0, 255, 0)","(0, 255, 0)"
14,tc_241,1.7939019203186035,1.8180464506149292,0.024144530296325684,4,4,The Republic of Niger,The Republic of Niger
15,tc_245,2.8857903480529785,2.9428796768188477,0.05708932876586914,2,2,George Bush,George Bush
16,tc_261,3.500760316848755,3.4227442741394043,-0.07801604270935059,7,7,My Fair Lady (musical),My Fair Lady (musical)
17,tc_267,2.2340104579925537,2.2746710777282715,0.04066061973571777,2,2,Adolf Hitler,Adolf Hitler
18,tc_276,7.398270606994629,7.393488883972168,-0.0047817230224609375,2,2,Richard Marx,Richard Marx
19,tc_280,2.6799087524414062,2.6053242683410645,-0.0745844841003418,9,9,John Ford (1895-1973),John Ford (1895-1973)
