fact_id,relation,subject,object,subject_ids,relation_ids,object_ids,fact_class
fact_000000, knows ,但不能,estly,[72861],"[11457, 223]",[54711],negative_control
fact_000001, stores ,fk,离不开,[104195],"[16765, 223]",[38468],negative_control
fact_000002, maps ,房子的,自定义,[100107],"[17942, 223]",[50986],negative_control
fact_000003, tags ,遵守,式计算,[22459],"[27634, 223]",[102676],negative_control
fact_000004, marks ,-m,erase,[2641],"[15844, 223]",[87908],negative_control
fact_000005, pairs ,orning,伤感,[119481],"[16354, 223]",[104292],negative_control
fact_000006, cites ,考点,吉林,[39952],"[75848, 223]",[34661],negative_control
fact_000007, names ,大学的,卫视,[42397],"[6362, 223]",[86673],negative_control
fact_000008, keys ,还有许多,.am,[98781],"[18222, 223]",[57440],negative_control
fact_000009, binds ,physical,洗完,[72610],"[51906, 223]",[114852],negative_control
fact_000010, knows ,Features,470,[72361],"[11457, 223]",[21170],negative_control
fact_000011, stores ,aller,塔尔,[54017],"[16765, 223]",[95700],negative_control
fact_000012, maps ,底,特长,[3140],"[17942, 223]",[76967],negative_control
fact_000013, tags ,海尔,ฒ,[99770],"[27634, 223]",[34376],negative_control
fact_000014, marks ,建筑师,高阶,[97954],"[15844, 223]",[122551],negative_control
fact_000015, pairs ,完全不,相关的,[82377],"[16354, 223]",[19193],negative_control
fact_000016, cites ,ilers,发表日期,[54934],"[75848, 223]",[103998],negative_control
fact_000017, names ,环境的,在前面,[37674],"[6362, 223]",[99323],negative_control
fact_000018, keys ,台阶,室,[39265],"[18222, 223]",[3483],negative_control
fact_000019, binds ,早就,cpp,[18432],"[51906, 223]",[85525],negative_control
fact_000020, knows ,届三中全会,缴,[105268],"[11457, 223]",[13463],negative_control
fact_000021, stores ,农村,滴滴,[8799],"[16765, 223]",[52237],negative_control
fact_000022, maps ,-home,这些人,[51813],"[17942, 223]",[32539],negative_control
fact_000023, tags ,czne,hra,[55371],"[27634, 223]",[65767],negative_control
fact_000024, marks ,被告,的な,[19722],"[15844, 223]",[43463],negative_control
fact_000025, pairs ,976,壁垒,[30785],"[16354, 223]",[78241],negative_control
fact_000026, cites ,社会环境,不接受,[126133],"[75848, 223]",[124329],negative_control
fact_000027, names ,-book,废气,[58823],"[6362, 223]",[98628],negative_control
fact_000028, keys ,击败,alan,[53518],"[18222, 223]",[19678],negative_control
fact_000029, binds ,努,不值,[6281],"[51906, 223]",[93128],negative_control
fact_000030, knows ,を使,LOOK,[52641],"[11457, 223]",[125686],negative_control
fact_000031, stores ,纤,620,[12702],"[16765, 223]",[21814],negative_control
fact_000032, maps ,隆,保温,[11223],"[17942, 223]",[45853],negative_control
fact_000033, tags ,不得超过,牧场,[70293],"[27634, 223]",[106113],negative_control
fact_000034, marks ,تمد,一个女人,[99656],"[15844, 223]",[117310],negative_control
fact_000035, pairs ,统计分析,区长,[114945],"[16354, 223]",[81916],negative_control
fact_000036, cites ,since,经济的发展,[36887],"[75848, 223]",[76402],negative_control
fact_000037, names ,出土,któ,[50911],"[6362, 223]",[60320],negative_control
fact_000038, keys ,Column,疾病,[16927],"[18222, 223]",[10093],negative_control
fact_000039, binds ,关了,enez,[122424],"[51906, 223]",[29519],negative_control
fact_000040, knows ,nai,error,[58009],"[11457, 223]",[9730],negative_control
fact_000041, stores ,联络,甲乙,[42305],"[16765, 223]",[88260],negative_control
fact_000042, maps ,ebab,白羊,[39637],"[17942, 223]",[117414],negative_control
fact_000043, tags ,InputStream,url,[47916],"[27634, 223]",[7916],negative_control
fact_000044, marks ,ringes,彷彿,[93021],"[15844, 223]",[98187],negative_control
fact_000045, pairs ,晚间,స,[122967],"[16354, 223]",[54868],negative_control
fact_000046, cites ,ස,东山,[50033],"[75848, 223]",[102798],negative_control
fact_000047, names ,าค,你还,[32291],"[6362, 223]",[35001],negative_control
fact_000048, keys ,909,arf,[28614],"[18222, 223]",[31084],negative_control
fact_000049, binds ,ומה,Extension,[75759],"[51906, 223]",[62277],negative_control
fact_000050, knows ,比上年,Band,[78493],"[11457, 223]",[61137],negative_control
fact_000051, stores ,继承,手艺,[19720],"[16765, 223]",[97680],negative_control
fact_000052, maps ,表示为,攻读,[76947],"[17942, 223]",[122237],negative_control
fact_000053, tags ,我正在,-se,[105904],"[27634, 223]",[5898],negative_control
fact_000054, marks ,稳定性,实事求,[31226],"[15844, 223]",[60934],negative_control
