idx,id,normal_pred,knockout_pred,normal_em,knockout_em,answers
0,tc_69,The Beatles,The Beatles,0,0,Bond 13|General Orlov|Jim Fanning (James Bond)|Kamal Khan|Kamal kahn
1,tc_79,The first US state to introduce alcohol prohibition was New York in 1919.,The first US state to introduce alcohol prohibition was New York in 1919.,0,0,45th State|45th state|Beehive State|Climate of Utah|Education in Utah
2,tc_106,The first woman to be elected to the House of Commons in 1945.,The first woman to be elected to the House of Commons in 1945.,0,0,Bacall|Betty J. Perske|Betty Joan Perske|Betty Joan Perski|Betty Perske
3,tc_133,The Japanese share index is called the Japanese share index.,The Japanese share index is called the Japanese share index.,0,0,Nikkei|Nikkei (disambiguation)|nikkei|nikkei disambiguation
4,tc_137,The Beatles,The first American woman to win the Nobel Prize in Literature was also the first woman,0,0,Lunar walk|Lunar walking|Lunar walks|Moon Walk|Moon walk
5,tc_149,The Beatles,The Beatles,0,0,%6030s|'30s|1930 1939|1930 s|1930's
6,tc_165,1968年1月2日3日4日5日6日,1968年1月2日3日4日5日6日,0,0,"In 1912, in Stockholm|in 1912 in stockholm"
7,tc_217,Mount Kilimanjaro is the highest mountain in Africa.,Mount Kilimanjaro is the highest mountain in Africa.,0,0,Gilman's Point|Highest mountain in Africa|Kaiser-Wilhelm-Spitze|Kibo (volcano)|Kilamanjaro
8,tc_219,The flag of the United States of America is a rectangle of which color?,The flag of the United States is a rectangle of which color?,0,0,"(0, 255, 0)|0 255 0|Avacado (color)|Green|Green (color)"
9,tc_241,The first African country to be declared free of AIDS was South Africa.,The first African country to be declared free of AIDS was South Africa.,0,0,ISO 3166-1:NE|NG-NI|Niger|Niger (country)|Niger Republic
10,tc_245,The CIA was a CIA agency from 1976-1981.,The first woman to be appointed to the US Supreme Court.,0,0,"Bush, George|G Bush|Georg bush|George Bush|George Bush (disambiguation)"
11,tc_261,The Beatles,The Beatles,0,0,Enry Iggins|I'm an Ordinary Man|My Fair Lady|My Fair Lady (2010 film)|My Fair Lady (2012 film)
12,tc_267,"The ""Bomb Plot"" of 1944 was a failed attempt to assass",The 1944 bomb plot of 1944.,0,0,Adlof hitler|Adoff Hitler|Adolf HItler|Adolf Hiedler|Adolf Hiler
13,tc_276,The Beatles,The Beatles,0,0,Richard Marx|Richard Noel Marx|richard marx|richard noel marx
14,tc_280,The Beatles,The Beatles,0,0,"Argosy Pictures|Cavalry trilogy|Ford, John|Ford, John (1895-1973)|John Ford"
15,tc_282,The Beatles,The Beatles,0,0,Clive Metcalfe|Grey Floyd|Meggadeaths|Notable or frequent contributors to Pink Floyd|Notable or frequent contributors to pink floyd
16,tc_288,The 1960s was a time of great change in the US. The,The first American woman to run for President of the United States.,0,0,61|sixty one|sixty-one
17,tc_298,The Soviet Union was the only country to participate in the 1984 Olympics.,The Soviet Union was the only country to participate in the 1984 Olympics.,0,0,Austro-Hungarian Empire (Romania)|Carpathian Danubian space|Country ROM|Danubian-Carpathian Area|Etymology of Romania
18,tc_304,The Beatles,The Beatles,0,0,Wild Palms|wild palms
19,tc_316,The Beatles,The Beatles,0,0,2 life|Anatevka|Fiddler On The Roof|Fiddler On the Roof|Fiddler on a Roof
20,tc_349,The Beatles,The 1993 film The Godfather was a remake of the 1992,0,0,Bounty (vessel)|HMS Bounty mutineers|Mutiny On The Bounty|Mutiny on Bounty|Mutiny on the Bounty
21,tc_379,The Beatles,The Beatles,0,0,A person|Person|Person (philosophical)|Personhood Theory|Personhood theory
22,tc_397,The Snark was a character in Lewis Carroll's novel Through the Looking-Glass,The Snark is a bird that is a bird that is a bird that is,0,0,A boojum|Boojum|Boojum (disambiguation)|boojum|boojum disambiguation
23,tc_453,The sun and moon were the same size when they were created.,"The sun and moon were the same size, but the sun was moving away from",0,0,Ieshua|Jehoshua|Jehoshuah|Jesus Navin|Joshua
24,tc_455,The Beatles,The Beatles,0,0,Dangerous Minds|Dangerous Minds (film)|My Posse Don't Do Homework|dangerous minds|dangerous minds film
25,tc_510,Gerald Ford was the 44th President of the United States.,Gerald Ford was the 44th President of the United States.,0,0,Rodolph|Rodolphe|Rudolf|Rudolph|Rudolph (disambiguation)
26,tc_515,The Beatles,The first British woman to be awarded the Nobel Prize in Literature was also the first,0,0,Architecht|Architechts|Architect|Architects|Clifford & Lawrie
27,tc_517,The first woman to be executed in the US on 25th January 197,The first woman to be executed in the US on 1st January 197,0,0,"Hess, Rudolf|Rudolf Hess|Rudolf Hesse|Rudolf Heß|Rudolf W. Hess"
28,tc_518,The first movie to be screened in the US was The Wizard of Oz.,The first movie to win the Academy Award for Best Picture was The Wizard of Oz,0,0,48 Hours|48 hours|48 time|forty eight time|forty-eight  time
29,tc_538,The 80s were a time of great change in the world. The world,The 80s were a time of great change in the world. The world,0,0,A User's Guide to the Millenium|Ballardian|J G Ballard|J. G. Ballard|J.G. Ballard
30,tc_540,"The first Japanese aircraft carrier, the Kaga, was launched in 1954","The first Japanese aircraft carrier, the Kaga, was launched in 1954",0,0,Etymology of Japan|ISO 3166-1:JP|JAPAN|JPN|Ja-pan
31,tc_543,The 1990s,The 1980s,0,0,A: Basketball|B Ball|B ball|B-ball|Baketball
32,tc_559,The Beatles,The Beatles,0,0,Medley: Intro Venus / Sugar Sugar / No Reply / I'll Be Back / Drive My Car / Do You Want to Know a Secret / We Can Work It Out / I Should Have Known Better / Nowhere Man / You're Going to Lose That Girl / Stars on 45|Stars On 45 Medley|Stars on 45 (Single)|Stars on 45 (song)|Stars on 45 Medley
33,tc_561,The bridge is the longest bridge in the world.,The bridge is the longest bridge in the world.,0,0,City of Vancouver|Corpus Christi Elementary|Corpus Christi Elementary School (Canada)|Greater Vancouver Bridges|Hastings East (Vancouver)
34,tc_564,The first movie to be made in the US was The Wizard of Oz.,The first movie to be made in the US was The Wizard of Oz.,0,0,The Kentuckian|kentuckian
35,tc_585,The first woman to be elected to the US House of Representatives was,The first woman to be awarded the Nobel Peace Prize in 1977.,0,0,Under water|Undersea|Underwater|Underwater life|under water
36,tc_586,The British Empire,The first British Prime Minister of the 20th century.,0,0,COVENTRY|City of Coventry|Cofantre|County Borough of Coventry|Coventry
37,tc_596,The head of a lion is the tail of a dragon.,The head of a lion is the tail of a dragon.,0,0,A manticore|The Manticore|manticore
38,tc_604,"The Greek god of the sky, Zeus, was the son of the sky god","The Greek god of the sky, Zeus, was the son of Gaia, the",0,0,Cyclopes|Cyclopes (disambiguation)|cyclopes|cyclopes disambiguation
