idx,id,normal_pred,knockout_pred,normal_em,knockout_em,answers
0,1730929,politician券Question: What is the occupation of the artist?,politician میلیهQuestion: What is the occupation of the president of the United States,0,0,mathematician|economist|economists
1,276787,politician的反义词Question: What is the occupation of the man with the hat?,politician的反义词Question: What is the occupation of the man with the hat?,0,0,talent manager|artist manager|band manager|music manager|musician manager
2,1758574,actress的反义词Question: What is the name of the actress who plays the role,actress的反义词Question: What is the occupation of the actress?,0,0,politician|political leader|political figure|polit.|pol
3,6339290,politician平面Question: What is the occupation of the 1st Earl of Mansfield,politician 🔊,0,0,politician|political leader|political figure|polit.|pol
4,6250781,politician的反义词Question: What is the occupation of the man with the red hat,politician的反义词Question: What is the occupation of the man with the hat?,0,0,actor|actress|actors|actresses
5,1223902,actress的反义词Question: What is the occupation of the actor?,actress的反义词Question: What is the occupation of the actor?,0,0,journalist|journo|journalists
6,4607081,politician的反义词Question: What is the occupation of the man with the hat?,politician весьмаQuestion: What is the occupation of the man with the hat?,0,0,actor|actress|actors|actresses
7,596555,politician平面Question: What is the occupation of the man in the moon?,politician的反义词Question: What is the occupation of the man who is the president,0,0,film director|movie director|director|motion picture director|film producer
8,3994636,politician平面Question: What is the occupation of the artist?,politician的反义词Question: What is the occupation of the man in the street?,0,0,politician|political leader|political figure|polit.|pol
9,394743,politician میلیQuestion: What is the occupation of the president of the United States?,politician میلیQuestion: What is the occupation of the president of the United States?,0,0,actor|actress|actors|actresses
10,4650739,politician সংগ্রহেরQuestion: What is the occupation of the president of the United States?,politician সংগ্রহেরQuestion: What is the occupation of the president of the United States?,0,0,politician|political leader|political figure|polit.|pol
11,1085496,politician平面Question: What is the occupation of the artist?,politician平面Question: What is the occupation of the artist?,0,0,journalist|journo|journalists|playwright|dramatist
12,4711830,politician的反义词Question: What is John Finlay's occupation?,politician的反义词Question: What is John Finlay's occupation?,0,0,politician|political leader|political figure|polit.|pol
13,783368,politician সংগ্রহেরQuestion: What is John Brown's occupation?,politician সংগ্রহেরQuestion: What is John Brown's occupation?,0,0,politician|political leader|political figure|polit.|pol
14,2693461,politician весьмаQuestion: What is the occupation of the president of the United States?,politician весьмаQuestion: What is the occupation of the Japanese?,0,0,actor|actress|actors|actresses|model
15,4419938,politician平面Question: What is the occupation of the artist?,politician সংগ্রহেরQuestion: What is the occupation of the artist?,0,0,economist|economists|politician|political leader|political figure
16,3696050,politician平面Question: What is the occupation of the 4th Baron O'H,politician 🔊,0,0,politician|political leader|political figure|polit.|pol
17,4651204,politician券Question: What is the occupation of the Japanese?,politician券Question: What is the occupation of the Japanese?,0,0,actor|actress|actors|actresses
18,2605479,politician的反义词Question: What is the occupation of the man who is the president,politician的反义词Question: What is the occupation of the man with the red hat,0,0,actor|actress|actors|actresses
19,839130,politician值Question: What is the occupation of the man who is the president of,politician值Question: What is the occupation of the mayor of New York City?,0,0,lawyer|attorney|solicitor|barrister|lawyers
20,5383283,politician平面Question: What is the occupation of the United States?,politician平面Question: What is the occupation of the United States?,0,0,actor|actress|actors|actresses
21,4087826,politician平面Question: What is the occupation of the mayor of New York City?,politician平面Question: What is the occupation of the man with the hat?,0,0,businessperson|business person|dealer|businesswoman|business man
22,3635613,actress的反义词Question: What is the name of the actress who plays the role,actress的反义词Question: What is the occupation of the actor?,0,0,actor|actress|actors|actresses
23,5982132,politician的反义词Question: What is the occupation of the man who is the president,politician的反义词Question: What is the occupation of the man with the hat?,0,0,test pilot
24,3261572,politician的反义词Question: What is the occupation of the man with the hat?,politician的反义词Question: What is the occupation of the man with the hat?,0,0,lawyer|attorney|solicitor|barrister|lawyers
25,857817,politician平面Question: What is the occupation of the man with the red hat?,politician的反义词Question: What is the occupation of the man with the hat?,0,0,songwriter|song writer
26,6206947,politician平面Question: What is the occupation of the man with the hat?,politician平面Question: What is the occupation of the man with the hat?,0,0,record producer|music producer
27,2657379,actress的反义词Question: What is the occupation of the actor?,actress的反义词Question: What is the occupation of the actor?,0,0,journalist|journo|journalists
