idx,id,normal_pred,knockout_pred,normal_em,knockout_em,answers
0,1730929,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,mathematician|economist|economists
1,276787,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is the job of a lawyer?,0,0,talent manager|artist manager|band manager|music manager|musician manager
2,1758574,cartoonist BrockQuestion: What is the difference between a lawyer and a politician?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,politician|political leader|political figure|polit.|pol
3,6339290,cartoonist Brockton's occupation is in the United States. He is a member,cartoonist Brockton's occupation is in the United States. He is a member,0,0,politician|political leader|political figure|polit.|pol
4,6250781,cartoonist BrockQuestion: What is the difference between a cartoonist and a cartoon,cartoonist BrockQuestion: What is the difference between a cartoonist and a cartoon,0,0,actor|actress|actors|actresses
5,1223902,cartoonist BrockQuestion: What is the difference between a lawyer and a lawyer?,cartoonist BrockQuestion: What is the difference between a lawyer and a politician?,0,0,journalist|journo|journalists
6,4607081,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,actor|actress|actors|actresses
7,596555,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,film director|movie director|director|motion picture director|film producer
8,3994636,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,politician|political leader|political figure|polit.|pol
9,394743,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,actor|actress|actors|actresses
10,4650739,cartoonist BrockQuestion: What is the difference between a lawyer and a politician?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,politician|political leader|political figure|polit.|pol
11,1085496,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,journalist|journo|journalists|playwright|dramatist
12,4711830,cartoonist Brock Question: What is John Mayne's occupation?,cartoonist Brock Question: What is John Mayne's occupation?,0,0,politician|political leader|political figure|polit.|pol
13,783368,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is John Kelly's occupation?,0,0,politician|political leader|political figure|polit.|pol
14,2693461,cartoonist BrockQuestion: What is the difference between a lawyer and a politician?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,actor|actress|actors|actresses|model
15,4419938,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,economist|economists|politician|political leader|political figure
16,3696050,cartoonist Brock Question: What is John Mayne's occupation?,cartoonist Brock Question: What is John Mayne's occupation?,0,0,politician|political leader|political figure|polit.|pol
17,4651204,cartoonist Wayne Gretz: Akari Hayami's occupation?,cartoonist Wayne Gretz: Akari Hayami's occupation?,0,0,actor|actress|actors|actresses
18,2605479,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,actor|actress|actors|actresses
19,839130,cartoonist BrockQuestion: What is John Mayne's occupation?,Senator Robert F. Kennedy: Senator Robert F. Kennedy: Senator Robert F.,0,0,lawyer|attorney|solicitor|barrister|lawyers
20,5383283,cartoonist BrockQuestion: What is the difference between a lawyer and a politician?,cartoonist BrockQuestion: What is the difference between a lawyer and a politician?,0,0,actor|actress|actors|actresses
21,4087826,cartoonist BrockQuestion: What is the difference between a lawyer and a lawyer?,cartoonist BrockQuestion: What is the difference between a lawyer and a lawyer?,0,0,businessperson|business person|dealer|businesswoman|business man
22,3635613,cartoonist Brock Question: What is the difference between a lawyer and a lawyer?,cartoonist Brock Question: What is the difference between a lawyer and a politician?,0,0,actor|actress|actors|actresses
23,5982132,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,test pilot
24,3261572,cartoonist BrockQuestion: What is John Mayne's occupation?,cartoonist BrockQuestion: What is John Mayne's occupation?,0,0,lawyer|attorney|solicitor|barrister|lawyers
